,City,Latitude,Longitude,Humidity,Temperature,Cloudiness,Wind Speed
0,Mar del Plata,-46.43,-67.52,53,17.96,0,10.22
1,Iracoubo,5.48,-53.21,70,26.56,32,3.17
2,Sangar,63.92,127.47,69,-14.04,0,0.42
3,Pandan,11.72,122.09,99,26.61,0,5.92
4,Ushuaia,-54.81,-68.31,75,7.0,75,5.1
5,Punta Arenas,-53.16,-70.91,71,9.48,75,8.2
6,Ribeira Grande,38.52,-28.7,100,15.11,88,3.42
7,Norsup,-16.07,167.38,79,29.66,8,2.97
8,Atuona,-9.8,-139.03,100,28.06,44,5.47
9,Barrow,-38.31,-60.23,65,21.81,0,5.87
10,Torbay,47.66,-52.73,80,-1.04,90,3.6
11,Lorengau,-2.02,147.27,98,28.31,44,3.22
12,Camacupa,-12.02,17.48,69,18.86,36,1.02
13,Russell,-33.01,-68.8,49,23.0,0,1.0
14,Qaanaaq,77.48,-69.36,78,-22.59,24,3.92
15,Upernavik,72.79,-56.15,91,-12.79,0,4.32
16,Georgetown,6.8,-58.16,88,26.0,20,3.1
17,Dikson,73.51,80.55,96,-4.09,56,9.97
18,Kashin,57.36,37.61,89,1.41,0,5.02
19,Bredasdorp,-34.53,20.04,87,15.73,92,2.1
20,Ahipara,-35.17,173.16,90,21.01,56,6.62
21,Acajutla,13.59,-89.83,84,22.78,0,1.34
22,Port Elizabeth,39.31,-74.98,76,13.31,1,3.02
23,Djibo,14.1,-1.63,61,25.71,0,1.22
24,Sao Filipe,14.9,-24.5,96,21.51,0,8.37
25,Phangnga,8.45,98.53,88,25.36,20,1.02
26,Pavlodar,52.28,76.96,93,4.0,90,5.0
27,Kapaa,22.08,-159.32,56,23.09,90,4.6
28,Saint-Joseph,43.56,6.97,75,6.48,0,2.6
29,Te Anau,-45.41,167.72,57,18.36,0,1.52
30,Karratha,-20.74,116.85,65,26.81,20,5.37
31,Mkushi,-13.61,29.4,65,17.71,0,3.92
32,Busselton,-33.64,115.35,40,14.75,0,7.52
33,Bluff,-23.58,149.07,100,25.21,80,3.32
34,Rikitea,-23.12,-134.97,95,26.91,88,11.02
35,Faanui,-16.48,-151.75,100,29.11,0,3.57
36,Zhigansk,66.77,123.37,76,-10.39,76,1.67
37,Svetlogorsk,53.14,59.15,68,-1.0,75,6.0
38,Kawalu,-7.38,108.21,96,20.01,48,0.72
39,Imbituba,-28.24,-48.67,73,22.0,75,1.0
40,Chuy,-33.69,-53.46,78,21.86,68,7.37
41,Norman Wells,65.28,-126.83,60,5.0,20,6.7
42,Diamond Harbour,22.19,88.19,88,26.0,0,3.6
43,Paamiut,61.99,-49.67,93,0.61,92,12.47
44,Port Alfred,-33.59,26.89,92,20.66,0,5.77
45,Ponta do Sol,-20.63,-46.0,55,24.01,80,4.17
46,Sur,22.57,59.53,89,24.21,0,0.77
47,Oksfjord,70.24,22.35,55,0.51,88,9.8
48,Angoche,-16.23,39.91,100,27.31,88,5.52
49,Cape Town,-33.93,18.42,88,17.59,20,3.6
50,Jamestown,-33.21,138.6,50,13.66,0,5.77
51,Albany,42.65,-73.75,70,7.05,90,2.6
52,New Norfolk,-42.78,147.06,54,13.82,75,3.6
53,Carnarvon,-30.97,22.13,34,10.56,0,1.87
54,Leningradskiy,69.38,178.42,100,-12.49,68,5.62
55,Airai,-8.93,125.41,87,24.01,8,0.57
56,Bandarbeyla,9.49,50.81,100,26.06,92,3.32
57,Luderitz,-26.65,15.16,89,16.76,76,5.57
58,Camaqua,-30.85,-51.81,75,22.41,76,6.07
59,Terney,45.05,136.61,78,0.71,12,2.12
60,Itajobi,-21.31,-49.06,57,26.0,0,4.6
61,Thompson,55.74,-97.86,45,-5.0,20,6.2
62,Pisco,-13.71,-76.2,30,22.0,0,9.3
63,Dakoro,14.51,6.76,21,24.66,0,4.92
64,Kuala Kedah,6.11,100.29,94,26.17,75,1.5
65,Nanortalik,60.14,-45.24,97,0.01,92,4.32
66,Kruisfontein,-34.0,24.73,85,15.96,0,1.32
67,San Patricio,-26.98,-56.83,79,24.81,0,1.42
68,Ilulissat,69.22,-51.1,57,-6.0,44,7.7
69,San Quintin,17.54,120.52,52,27.11,0,1.52
70,Huaral,-11.5,-77.21,69,24.0,0,6.2
71,San Cristobal,-0.39,-78.55,81,13.57,75,2.1
